epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,928.174,1.75167,2.05732,1.8159,0.32107,0.30269,0.24142,0.08235,2.17537,2.3207,2.13504,0.00138101,0.00138101,0.00138101
43,949.201,1.74303,2.06095,1.80331,0.37596,0.30739,0.24714,0.0823,2.21329,2.47209,2.19901,0.00136781,0.00136781,0.00136781
44,969.975,1.75258,2.03825,1.82974,0.40449,0.35992,0.29277,0.1074,2.14725,2.30064,2.09902,0.00135438,0.00135438,0.00135438
45,990.302,1.7317,2.08749,1.82146,0.39631,0.31197,0.26822,0.09619,2.14715,2.28863,2.11876,0.00134073,0.00134073,0.00134073
46,1012.01,1.76367,2.0485,1.81962,0.35818,0.2946,0.23974,0.08093,2.1659,2.32903,2.15042,0.00132685,0.00132685,0.00132685
47,1031.92,1.7452,2.02,1.81113,0.3809,0.33198,0.2871,0.10325,2.11209,2.1789,2.05479,0.00131277,0.00131277,0.00131277
48,1051.97,1.7208,1.95201,1.79279,0.3735,0.33615,0.27595,0.10137,2.1553,2.25291,2.08932,0.00129847,0.00129847,0.00129847
49,1073.46,1.74697,1.99474,1.80326,0.37685,0.29739,0.26057,0.09572,2.16021,2.2566,2.104,0.00128398,0.00128398,0.00128398
50,1093.62,1.70714,1.99968,1.7851,0.40954,0.33521,0.29384,0.10334,2.15523,2.25174,2.09797,0.00126929,0.00126929,0.00126929
51,1114.94,1.71673,1.94948,1.79804,0.28335,0.31653,0.20257,0.06698,2.19957,2.5697,2.1967,0.00125442,0.00125442,0.00125442
52,1135.56,1.70208,1.98766,1.79469,0.40319,0.33297,0.28232,0.10268,2.1538,2.23725,2.09262,0.00123936,0.00123936,0.00123936
53,1155.78,1.73508,2.00591,1.80106,0.35957,0.32349,0.25688,0.09361,2.13108,2.27802,2.06156,0.00122413,0.00122413,0.00122413
54,1177.95,1.72122,1.98675,1.78543,0.36215,0.34687,0.25309,0.08166,2.20139,2.30599,2.15462,0.00120873,0.00120873,0.00120873
55,1198.35,1.72027,1.93622,1.77743,0.38531,0.31292,0.25825,0.09043,2.12112,2.20978,2.07064,0.00119317,0.00119317,0.00119317
56,1220.33,1.72457,1.9553,1.77631,0.4061,0.32576,0.28176,0.09684,2.13512,2.2389,2.06685,0.00117746,0.00117746,0.00117746
57,1240.67,1.72897,1.94078,1.77789,0.45772,0.32391,0.28711,0.10086,2.12758,2.24786,2.0735,0.0011616,0.0011616,0.0011616
58,1261.06,1.69804,1.94937,1.75801,0.45353,0.3316,0.30333,0.11265,2.15466,2.1262,2.09924,0.0011456,0.0011456,0.0011456
59,1282.95,1.6962,1.91121,1.75993,0.41816,0.26612,0.24443,0.08463,2.16931,2.34987,2.13029,0.00112946,0.00112946,0.00112946
60,1303.37,1.70388,1.90884,1.75749,0.46563,0.31531,0.31604,0.11078,2.14083,2.24424,2.09079,0.0011132,0.0011132,0.0011132
61,1325.57,1.70875,1.93177,1.79105,0.49506,0.32977,0.31824,0.11351,2.15711,2.21891,2.10313,0.00109683,0.00109683,0.00109683
62,1346.27,1.69619,1.92478,1.76608,0.40357,0.3492,0.2947,0.11102,2.07262,2.23102,2.03343,0.00108033,0.00108033,0.00108033
63,1367.23,1.69728,1.90057,1.78001,0.41884,0.34484,0.28142,0.10181,2.14378,2.24241,2.09239,0.00106374,0.00106374,0.00106374
64,1389.19,1.71741,1.93232,1.79175,0.37838,0.30156,0.23865,0.08617,2.15392,2.33184,2.10268,0.00104705,0.00104705,0.00104705
65,1409.69,1.66656,1.86744,1.7354,0.42945,0.34165,0.30052,0.10266,2.12471,2.18337,2.05302,0.00103026,0.00103026,0.00103026
66,1431.66,1.70846,1.86487,1.75664,0.36487,0.31748,0.26738,0.09011,2.21718,2.25531,2.17203,0.0010134,0.0010134,0.0010134
67,1452.02,1.65683,1.85573,1.75172,0.42515,0.34733,0.30343,0.1088,2.15282,2.17549,2.10476,0.000996456,0.000996456,0.000996456
68,1473.94,1.69433,1.87448,1.78172,0.4416,0.30959,0.29385,0.10002,2.18422,2.20899,2.13876,0.000979447,0.000979447,0.000979447
69,1494.55,1.65761,1.8635,1.75045,0.41439,0.32578,0.27802,0.10071,2.10954,2.18639,2.0631,0.000962378,0.000962378,0.000962378
70,1515.05,1.65767,1.85882,1.74725,0.3837,0.29339,0.25167,0.09101,2.14869,2.29965,2.13078,0.000945256,0.000945256,0.000945256
71,1536.56,1.65092,1.82506,1.7383,0.43587,0.32663,0.31,0.11058,2.09423,2.17904,2.04846,0.000928088,0.000928088,0.000928088
72,1557.07,1.67353,1.83593,1.75579,0.40541,0.35497,0.30426,0.1102,2.14399,2.14861,2.06872,0.000910883,0.000910883,0.000910883
73,1578.72,1.66067,1.85457,1.73179,0.41376,0.29715,0.27244,0.09622,2.12996,2.2174,2.08206,0.000893648,0.000893648,0.000893648
74,1599.76,1.6776,1.84618,1.74258,0.44605,0.32174,0.30136,0.10739,2.17167,2.18025,2.12813,0.000876389,0.000876389,0.000876389
75,1621.42,1.64281,1.81526,1.72504,0.41979,0.34461,0.30615,0.11436,2.10294,2.13261,2.06147,0.000859116,0.000859116,0.000859116
